2017-08-17 18:42:19.567 +0530	START		Running Master_Script.script
2017-08-17 18:42:29.814 +0530	imagefound	RulesOfRoad	Unable to Find Image RulesOfRoad	3	on_master_script	Master_Script.script
2017-08-17 18:42:29.965 +0530	imagefound	Patient_Reg/View	found at (42, 50)	4	on_register_patient	Register_Patient.script
2017-08-17 18:42:32.185 +0530	click	Patient_Reg/View	at (42, 50)	6	on_register_patient	Register_Patient.script
2017-08-17 18:42:33.747 +0530	typetext		Auto, 08/17/17 06:42:29[return]	7	on_register_patient	Register_Patient.script
2017-08-17 18:42:36.187 +0530	imagefound	Patient_Reg/Add_Pat	found at (851, 325)	8	on_register_patient	Register_Patient.script
2017-08-17 18:42:36.310 +0530	click	Patient_Reg/Add_Pat	at (851, 325)	9	on_register_patient	Register_Patient.script
2017-08-17 18:42:39.478 +0530	imagefound	Patient_Reg/Facility_Search	found at (493, 416)	10	on_register_patient	Register_Patient.script
2017-08-17 18:42:40.465 +0530	click	Patient_Reg/Facility_Search	at (493, 416)	11	on_register_patient	Register_Patient.script
2017-08-17 18:42:41.504 +0530	typetext		Profit Auto Facility1[return]	12	on_register_patient	Register_Patient.script
2017-08-17 18:42:42.466 +0530	click	Patient_Reg/Sex	at (480, 550)	18	on_register_patient	Register_Patient.script
2017-08-17 18:42:43.318 +0530	typetext		Male	19	on_register_patient	Register_Patient.script
2017-08-17 18:42:44.265 +0530	click	Patient_Reg/DateofBirth	at (707, 550)	20	on_register_patient	Register_Patient.script
2017-08-17 18:42:45.023 +0530	typetext		T	21	on_register_patient	Register_Patient.script
2017-08-17 18:42:45.937 +0530	click	Patient_Reg/Insurance	at (600, 360)	22	on_register_patient	Register_Patient.script
2017-08-17 18:42:46.706 +0530	imagefound	Patient_Reg/AddInsurance_Button	found at (510, 385)	23	on_register_patient	Register_Patient.script
2017-08-17 18:42:46.875 +0530	click	Patient_Reg/AddInsurance_Button	at (510, 385)	24	on_register_patient	Register_Patient.script
2017-08-17 18:42:49.039 +0530	click	Patient_Reg/Insurance	at (515, 226)	26	on_register_patient	Register_Patient.script
2017-08-17 18:42:49.859 +0530	imagefound	Patient_Reg/SearchforHealthPlan	found at (470, 285)	27	on_register_patient	Register_Patient.script
2017-08-17 18:42:50.100 +0530	click	Patient_Reg/SearchforHealthPlan	at (470, 285)	29	on_register_patient	Register_Patient.script
